CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT   MEM %               NET I/O             BLOCK I/O           PIDS
283acd69188f        kafka               4.58%               365.5MiB / 2GiB     17.85%              580kB / 1.04MB      61.5MB / 889kB      85
c841643e69d3        neo4j               0.36%               690.8MiB / 2GiB     33.73%              10.2kB / 10.7kB     28.1MB / 557kB      41
c715a2a42078        producer5           0.39%               53.59MiB / 2GiB     2.62%               10.7MB / 110kB      4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.01%               51.72MiB / 2GiB     2.53%               16.8MB / 102kB      0B / 15.8MB         6
7d71704d4fc3        producer3           0.38%               53.86MiB / 2GiB     2.63%               11MB / 231kB        156kB / 15.8MB      6
26b17bb4d32f        producer2           0.01%               67.88MiB / 2GiB     3.31%               19.6MB / 169kB      549MB / 15.8MB      6
ea2d413f4413        storm               39.34%              648.2MiB / 2GiB     31.65%              69.8MB / 1.12MB     663MB / 65.2MB      153
283acd69188f        kafka               1.17%               367.8MiB / 2GiB     17.96%              773kB / 1.4MB       61.5MB / 942kB      85
c841643e69d3        neo4j               0.33%               691.8MiB / 2GiB     33.78%              10.2kB / 10.7kB     28.1MB / 557kB      41
c715a2a42078        producer5           0.43%               53.77MiB / 2GiB     2.63%               10.9MB / 184kB      4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.01%               51.72MiB / 2GiB     2.53%               19.3MB / 118kB      0B / 15.8MB         6
7d71704d4fc3        producer3           0.43%               53.95MiB / 2GiB     2.63%               11.2MB / 308kB      156kB / 15.8MB      6
26b17bb4d32f        producer2           0.01%               71.82MiB / 2GiB     3.51%               24.5MB / 217kB      549MB / 15.8MB      6
ea2d413f4413        storm               41.96%              649.6MiB / 2GiB     31.72%              70.2MB / 1.3MB      663MB / 65.4MB      153
283acd69188f        kafka               1.11%               367.8MiB / 2GiB     17.96%              960kB / 1.74MB      61.5MB / 983kB      85
c841643e69d3        neo4j               0.40%               698.1MiB / 2GiB     34.09%              10.2kB / 10.7kB     28.1MB / 557kB      41
c715a2a42078        producer5           0.64%               53.84MiB / 2GiB     2.63%               11.1MB / 272kB      4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.01%               55.3MiB / 2GiB      2.70%               24.6MB / 166kB      0B / 15.8MB         6
7d71704d4fc3        producer3           0.41%               54.07MiB / 2GiB     2.64%               11.4MB / 401kB      156kB / 15.8MB      6
26b17bb4d32f        producer2           0.01%               71.82MiB / 2GiB     3.51%               27.6MB / 237kB      549MB / 15.8MB      6
ea2d413f4413        storm               36.27%              652.4MiB / 2GiB     31.85%              70.6MB / 1.52MB     663MB / 65.6MB      153
283acd69188f        kafka               32.05%              371.4MiB / 2GiB     18.13%              1.18MB / 2.14MB     61.5MB / 1.04MB     85
c841643e69d3        neo4j               0.38%               698.9MiB / 2GiB     34.13%              10.2kB / 10.7kB     28.1MB / 557kB      41
c715a2a42078        producer5           0.47%               53.96MiB / 2GiB     2.64%               11.4MB / 343kB      4.1kB / 15.8MB      6
